"108年06月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"108/06/03","10,482.45","10,511.20","10,383.51","10,500.07",
"108/06/04","10,499.51","10,518.33","10,421.81","10,429.12",
"108/06/05","10,497.50","10,541.29","10,446.51","10,461.62",
"108/06/06","10,409.90","10,429.33","10,371.08","10,409.20",
"108/06/10","10,486.23","10,566.47","10,466.24","10,566.47",
"108/06/11","10,567.54","10,637.90","10,548.06","10,607.76",
"108/06/12","10,605.75","10,630.69","10,566.37","10,615.66",
"108/06/13","10,582.19","10,617.06","10,539.49","10,561.01",
"108/06/14","10,546.42","10,568.92","10,517.82","10,524.67",
"108/06/17","10,488.70","10,562.97","10,474.19","10,530.54",
"108/06/18","10,547.15","10,573.77","10,521.70","10,566.74",
"108/06/19","10,650.48","10,778.64","10,650.48","10,775.34",
"108/06/20","10,749.41","10,799.14","10,745.25","10,785.01",
"108/06/21","10,817.71","10,840.29","10,773.47","10,803.77",
"108/06/24","10,734.25","10,786.33","10,695.49","10,779.45",
"108/06/25","10,777.18","10,787.62","10,693.04","10,706.72",
"108/06/26","10,661.39","10,690.98","10,645.37","10,652.55",
"108/06/27","10,674.20","10,800.29","10,674.20","10,773.90",
"108/06/28","10,786.66","10,788.08","10,719.08","10,730.83",
