# DIF5-8 > 0
00665L,富邦恒生國企正2
00736,國泰新興市場
1340,勝悅-KY
1437,勤益控
1503,士電
1527,鑽全
1532,勤美
1626,艾美特-KY
2101,南港
2207,和泰車
2404,漢唐
2427,三商電
2484,希華
2485,兆赫
2504,國產
2536,宏普
2809,京城銀
2881,富邦金
2884,玉山金
2887,台新金
2891,中信金
2903,遠百
2905,三商
2929,淘帝-KY
3031,佰鴻
3094,聯傑
3532,台勝科
3645,達邁
4532,瑞智
4564,元翎
4915,致伸
4994,傳奇
5225,東科-KY
5234,達興材料
5258,虹堡
6108,競國
6184,大豐電
6192,巨路
6202,盛群
6206,飛捷
6449,鈺邦
6706,惠特
8046,南電
9904,寶成
9910,豐泰
9921,巨大
9945,潤泰新
# DIF12-26 > 0
1338,廣華-KY
1417,嘉裕
1503,士電
2412,中華電
2495,普安
2516,新建
2633,台灣高鐵
2888B,新光金乙特
3005,神基
4934,太極
4994,傳奇
8411,福貞-KY
