# DIF5-8 > 0
00671R,富邦NASDAQ反1
1524,耿鼎
3454,晶睿
5225,東科-KY
9921,巨大
# DIF12-26 > 0
1102,亞泥
1109,信大
1402,遠東新
1417,嘉裕
1434,福懋
1440,南紡
1522,堤維西
1528,恩德
1611,中電
1616,億泰
1707,葡萄王
1718,中纖
1809,中釉
2006,東和鋼鐵
2013,中鋼構
2069,運錩
2107,厚生
2305,全友
2313,華通
2316,楠梓電
2392,正崴
2453,凌群
2464,盟立
2548,華固
2605,新興
2614,東森
2617,台航
2633,台灣高鐵
2706,第一店
2739,寒舍
2867,三商壽
2884,玉山金
2886,兆豐金
2892,第一金
2905,三商
3011,今皓
3022,威強電
3432,台端
4133,亞諾法
4190,佐登-KY
4532,瑞智
4560,強信-KY
4581,光隆精密-KY
4763,材料-KY
5521,工信
5531,鄉林
6024,群益期
6214,精誠
6558,興能高
6591,動力-KY
6706,惠特
6715,嘉基
8261,富鼎
8473,山林水
8926,台汽電
9105,泰金寶-DR
9904,寶成
9925,新保
9930,中聯資源
9940,信義
