# DIF5-8 > 0
00631L,元大台灣50正2
00662,富邦NASDAQ
00675L,富邦臺灣加權正2
00690,兆豐藍籌30
00736,國泰新興市場
00850,元大臺灣ESG永續
00875,國泰網路資安
020020,元大台股領航N
1460,宏遠
1467,南緯
1503,士電
1507,永大
1711,永光
2301,光寶科
2314,台揚
2337,旺宏
2340,光磊
2369,菱生
2383,台光電
2392,正崴
2399,映泰
2417,圓剛
2431,聯昌
2436,偉詮電
2455,全新
2457,飛宏
3003,健和興
3023,信邦
3034,聯詠
3042,晶技
3257,虹冠電
3376,新日興
3416,融程電
3515,華擎
3530,晶相光
3588,通嘉
3591,艾笛森
3661,世芯-KY
3669,圓展
4967,十銓
4968,立積
5525,順天
6152,百一
6235,華孚
6674,鋐寶科技
8046,南電
8261,富鼎
8996,高力
9921,巨大
9944,新麗
# DIF12-26 > 0
00717,富邦美國特別股
1227,佳格
1514,亞力
1736,喬山
2481,強茂
3583,辛耘
4935,茂林-KY
4977,眾達-KY
8101,華冠
